Query de Busqueda;ID;Titulo del producto;Precio;Cantidad disponible;Condicion;Link al item;Estado;Garantia;Direccion vendedor
notebook apple;MLA1308725440;Macbook Air M1 2020, 8gb De Ram 256gb Ssd;375000;50;new;https://articulo.mercadolibre.com.ar/MLA-1308725440-macbook-air-m1-2020-8gb-de-ram-256gb-ssd-_JM;active;Garantía del vendedor: 12 meses;
notebook apple;MLA1217386726;Macbook Air A1466 13.3  Intel Core I5 5350u 8gb De Ram 128gb;272214;1;new;https://articulo.mercadolibre.com.ar/MLA-1217386726-macbook-air-a1466-133-intel-core-i5-5350u-8gb-de-ram-128gb-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1313732048;Apple Macbook Air M2 8gb Ram 256 Ssd - Starlight -  Español;495000;1;new;https://articulo.mercadolibre.com.ar/MLA-1313732048-apple-macbook-air-m2-8gb-ram-256-ssd-starlight-espanol-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1308045736;Macbook Pro 13-inch Late 2011 Con Funda De Regalo;240000;1;new;https://articulo.mercadolibre.com.ar/MLA-1308045736-macbook-pro-13-inch-late-2011-con-funda-de-regalo-_JM;active;Garantía del vendedor: 3 meses;
notebook apple;MLA1272081922;Macbook Pro 13/ Intel I5/ 8gb De Ram/ 250gb Ssd + 500gb Hdd;140000;1;new;https://articulo.mercadolibre.com.ar/MLA-1272081922-macbook-pro-13-intel-i5-8gb-de-ram-250gb-ssd-500gb-hdd-_JM;active;Sin garantía;
notebook apple;MLA1221669666;Macbook Pro - 2021 (14 , M1 Pro, 32 Ram, 500 Ssd);850000;1;new;https://articulo.mercadolibre.com.ar/MLA-1221669666-macbook-pro-2021-14-m1-pro-32-ram-500-ssd-_JM;active;Sin garantía;
notebook apple;MLA1293036915;Macbook Pro 2016 Touchbar;195000;1;new;https://articulo.mercadolibre.com.ar/MLA-1293036915-macbook-pro-2016-touchbar-_JM;active;Garantía del vendedor: 3 meses;
notebook apple;MLA1218576556;Apple Macbook Air 13  M1 256 Gb Ssd 8 Gb Ram Gris ;479999;1;new;https://articulo.mercadolibre.com.ar/MLA-1218576556-apple-macbook-air-13-m1-256-gb-ssd-8-gb-ram-gris-_JM;active;Garantía de fábrica: 6 meses;
notebook apple;MLA1168320450;Apple Macbook Air M2 2022 8gb Ram 256gb Ssd Space Gray 13.6 ;596599;1;new;https://articulo.mercadolibre.com.ar/MLA-1168320450-apple-macbook-air-m2-2022-8gb-ram-256gb-ssd-space-gray-136-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA878956626;Macbook Pro 13 Late 2016 Retina 256 Ssd 8gb Ram - Impecable!;199000;1;new;https://articulo.mercadolibre.com.ar/MLA-878956626-macbook-pro-13-late-2016-retina-256-ssd-8gb-ram-impecable-_JM;active;Sin garantía;
